country,year,pop,continent,lifeExp,gdpPercap,time
Brazil,1952,56602560,Americas,50.92,2108.94,2
Brazil,1957,65551171,Americas,53.29,2487.37,7
Brazil,1962,76039390,Americas,55.67,3336.59,12
Brazil,1967,88049823,Americas,57.63,3429.86,17
Brazil,1972,100840058,Americas,59.5,4985.71,22
Brazil,1977,114313951,Americas,61.49,6660.12,27
Brazil,1982,128962939,Americas,63.34,7030.84,32
Brazil,1987,142938076,Americas,65.21,7807.1,37
Brazil,1992,155975974,Americas,67.06,6950.28,42
Brazil,1997,168546719,Americas,69.39,7957.98,47
Brazil,2002,179914212,Americas,71.01,8131.21,52
Brazil,2007,190010647,Americas,72.39,9065.8,57
Canada,1952,14785584,Americas,68.75,11367.16,2
Canada,1957,17010154,Americas,69.96,12489.95,7
Canada,1962,18985849,Americas,71.3,13462.49,12
Canada,1967,20819767,Americas,72.13,16076.59,17
Canada,1972,22284500,Americas,72.88,18970.57,22
Canada,1977,23796400,Americas,74.21,22090.88,27
Canada,1982,25201900,Americas,75.76,22898.79,32
Canada,1987,26549700,Americas,76.86,26626.52,37
Canada,1992,28523502,Americas,77.95,26342.88,42
Canada,1997,30305843,Americas,78.61,28954.93,47
Canada,2002,31902268,Americas,79.77,33328.97,52
Canada,2007,33390141,Americas,80.65,36319.24,57
China,1952,556263528,Asia,44,400.45,2
China,1957,637408000,Asia,50.55,575.99,7
China,1962,665770000,Asia,44.5,487.67,12
China,1967,754550000,Asia,58.38,612.71,17
China,1972,862030000,Asia,63.12,676.9,22
China,1977,943455000,Asia,63.97,741.24,27
China,1982,1000281000,Asia,65.53,962.42,32
China,1987,1084035000,Asia,67.27,1378.9,37
China,1992,1164970000,Asia,68.69,1655.78,42
China,1997,1230075000,Asia,70.43,2289.23,47
China,2002,1280400000,Asia,72.03,3119.28,52
China,2007,1318683096,Asia,72.96,4959.11,57
Egypt,1952,22223309,Africa,41.89,1418.82,2
Egypt,1957,25009741,Africa,44.44,1458.92,7
Egypt,1962,28173309,Africa,46.99,1693.34,12
Egypt,1967,31681188,Africa,49.29,1814.88,17
Egypt,1972,34807417,Africa,51.14,2024.01,22
Egypt,1977,38783863,Africa,53.32,2785.49,27
Egypt,1982,45681811,Africa,56.01,3503.73,32
Egypt,1987,52799062,Africa,59.8,3885.46,37
Egypt,1992,59402198,Africa,63.67,3794.76,42
Egypt,1997,66134291,Africa,67.22,4173.18,47
Egypt,2002,73312559,Africa,69.81,4754.6,52
Egypt,2007,80264543,Africa,71.34,5581.18,57
Finland,1952,4090500,Europe,66.55,6424.52,2
Finland,1957,4324000,Europe,67.49,7545.42,7
Finland,1962,4491443,Europe,68.75,9371.84,12
Finland,1967,4605744,Europe,69.83,10921.64,17
Finland,1972,4639657,Europe,70.87,14358.88,22
Finland,1977,4738902,Europe,72.52,15605.42,27
Finland,1982,4826933,Europe,74.55,18533.16,32
Finland,1987,4931729,Europe,74.83,21141.01,37
Finland,1992,5041039,Europe,75.7,20647.16,42
Finland,1997,5134406,Europe,77.13,23723.95,47
Finland,2002,5193039,Europe,78.37,28204.59,52
Finland,2007,5238460,Europe,79.31,33207.08,57
Ireland,1952,2952156,Europe,66.91,5210.28,2
Ireland,1957,2878220,Europe,68.9,5599.08,7
Ireland,1962,2830000,Europe,70.29,6631.6,12
Ireland,1967,2900100,Europe,71.08,7655.57,17
Ireland,1972,3024400,Europe,71.28,9530.77,22
Ireland,1977,3271900,Europe,72.03,11150.98,27
Ireland,1982,3480000,Europe,73.1,12618.32,32
Ireland,1987,3539900,Europe,74.36,13872.87,37
Ireland,1992,3557761,Europe,75.47,17558.82,42
Ireland,1997,3667233,Europe,76.12,24521.95,47
Ireland,2002,3879155,Europe,77.78,34077.05,52
Ireland,2007,4109086,Europe,78.89,40676,57
Mexico,1952,30144317,Americas,50.79,3478.13,2
Mexico,1957,35015548,Americas,55.19,4131.55,7
Mexico,1962,41121485,Americas,58.3,4581.61,12
Mexico,1967,47995559,Americas,60.11,5754.73,17
Mexico,1972,55984294,Americas,62.36,6809.41,22
Mexico,1977,63759976,Americas,65.03,7674.93,27
Mexico,1982,71640904,Americas,67.41,9611.15,32
Mexico,1987,80122492,Americas,69.5,8688.16,37
Mexico,1992,88111030,Americas,71.46,9472.38,42
Mexico,1997,95895146,Americas,73.67,9767.3,47
Mexico,2002,102479927,Americas,74.9,10742.44,52
Mexico,2007,108700891,Americas,76.2,11977.57,57
United States,1952,157553000,Americas,68.44,13990.48,2
United States,1957,171984000,Americas,69.49,14847.13,7
United States,1962,186538000,Americas,70.21,16173.15,12
United States,1967,198712000,Americas,70.76,19530.37,17
United States,1972,209896000,Americas,71.34,21806.04,22
United States,1977,220239000,Americas,73.38,24072.63,27
United States,1982,232187835,Americas,74.65,25009.56,32
United States,1987,242803533,Americas,75.02,29884.35,37
United States,1992,256894189,Americas,76.09,32003.93,42
United States,1997,272911760,Americas,76.81,35767.43,47
United States,2002,287675526,Americas,77.31,39097.1,52
United States,2007,301139947,Americas,78.24,42951.65,57
